pm10,pm25,so2,co,o3,no2,target
47,77,22,9,27,15,1
41,69,29,7,23,11,1
42,69,34,7,25,12,1
50,77,40,10,19,24,1
54,90,25,14,21,25,1
37,67,19,11,29,20,1
50,82,21,20,31,32,1
43,74,21,8,30,14,1
33,58,17,6,38,6,1
40,72,23,8,38,8,1
53,89,29,9,38,13,1
50,83,27,8,36,10,1
65,115,25,14,31,13,2
51,81,25,7,32,6,1
51,81,24,10,25,13,1
39,69,23,8,28,8,1
45,75,22,10,29,13,1
30,56,24,7,39,12,1
51,82,22,15,26,24,1
51,87,26,8,28,16,1
50,84,25,13,26,24,1
52,90,21,14,30,21,1
63,109,24,23,27,40,2
64,108,25,17,30,25,2
44,70,24,9,30,22,1
48,79,34,7,24,17,1
34,61,32,5,20,11,1
49,77,37,8,20,19,1
54,88,37,11,19,29,1
46,66,24,15,18,29,1
52,82,21,11,27,18,1
59,83,22,18,19,35,1
59,84,21,20,24,38,1
54,76,22,20,17,41,1
63,87,20,13,14,30,1
59,79,23,20,19,38,1
59,83,22,15,19,32,1
52,72,24,13,28,31,1
58,80,26,16,24,38,1
58,77,24,14,23,34,1
66,89,23,23,18,47,1
59,77,22,15,23,40,1
57,77,24,17,27,35,1
51,70,23,14,25,25,1
58,82,25,13,22,26,1
62,86,31,13,17,29,1
56,74,39,18,13,35,1
56,80,28,25,17,39,1
64,84,29,17,16,34,1
54,68,26,21,13,45,1
75,109,33,25,21,44,2
52,64,24,16,18,31,1
44,58,27,15,16,32,1
54,79,26,17,24,43,1
65,90,31,17,17,39,1
59,82,36,14,17,32,1
54,66,31,10,21,23,1
65,94,27,18,22,32,1
55,79,24,18,26,38,1
66,94,30,15,20,28,1
65,94,26,19,19,38,1
60,82,50,16,64,26,1
68,92,54,16,76,28,1
68,93,57,16,61,32,1
66,86,46,12,76,13,1
64,84,51,16,65,25,1
61,80,50,11,72,14,1
61,83,52,15,68,24,1
70,99,53,14,72,23,1
68,87,54,13,67,22,1
71,99,56,15,48,32,1
65,90,51,12,61,25,1
67,91,54,12,57,25,1
55,73,52,11,58,17,1
69,91,53,12,58,20,1
69,90,52,11,44,16,1
67,85,66,17,43,28,1
61,84,51,20,44,33,1
77,98,59,15,49,27,1
64,77,59,16,41,43,1
81,108,66,18,44,35,2
62,75,55,14,44,28,1
59,72,54,14,38,27,1
66,91,51,13,51,28,1
80,99,54,14,42,28,1
70,84,58,12,40,23,1
62,79,53,9,53,17,1
67,94,57,11,57,18,1
65,93,53,16,61,28,1
75,102,52,12,51,18,2
79,105,57,14,55,28,2
58,87,44,8,23,15,1
63,95,45,11,26,19,1
