NAMA DESA;IKS;IKE;IKL;IDM;Status
KABUFIN;0,6686;0,25;0,8667;0,5951;1
KAIBOLAFIN;0,64;0,2667;0,6667;0,5244;1
KOLAMAR;0,6343;0,2833;0,8667;0,5948;1
MARLASI;0,8;0,3167;0,6667;0,5944;1
MESIDANG;0,6;0,2333;0,6667;0,5;1
SELMONA;0,6857;0,3;0,6667;0,5508;1
TASINWAHA;0,6229;0,25;0,8667;0,5798;1
WAHANGULA-NGULA;0,6171;0,25;0,8667;0,5779;1
WAHAYUM;0,6343;0,2667;0,8667;0,5892;1
WARIALAU;0,68;0,2333;0,8667;0,5933;1
BATULEY;0,6343;0,2667;0,6667;0,5225;1
JURSIANG;0,6686;0,2833;0,6667;0,5395;1
KOBAMAR;0,7714;0,3333;0,6667;0,5905;1
KUMUL;0,6686;0,2833;0,6667;0,5395;1
SEWER;0,7257;0,3;0,6667;0,5641;1
WARIA;0,5714;0,35;0,8667;0,596;1
GORAR;0,6514;0,3333;0,6667;0,5505;1
JABULENGA;0,6229;0,2833;0,6667;0,5243;1
KOBRAUR;0,6;0,25;0,6667;0,5056;1
LAU-LAU;0,5943;0,4;0,5333;0,5092;1
NAFAR;0,6171;0,3167;0,6;0,5113;1
TUNGU;0,6114;0,25;0,6667;0,5094;1
TUNGUWATU;0,6057;0,2667;0,6667;0,513;1
UJIR;0,7086;0,4167;0,6667;0,5973;1
BARDEFAN;0,4914;0,2167;0,6667;0,4583;0
GODA-GODA;0,5429;0,2167;0,6667;0,4754;0
GOMSEY;0,6686;0,3167;0,6667;0,5506;1
KOLAHA;0,5257;0,25;0,6667;0,4808;0
LANGHALAU;0,5371;0,2333;0,6667;0,479;0
LEITING;0,6629;0,25;0,6667;0,5265;1
MOHONGSEL;0,4686;0,2333;0,6667;0,4562;0
WAFAN;0,6057;0,25;0,8;0,5519;1
WAIFUAL;0,4571;0,2333;0,6667;0,4524;0
BEBAR TIMUR;0,6629;0,2667;0,8667;0,5987;1
KUAIMELU;0,6914;0,3;0,6667;0,5527;1
KUMUR;0,6743;0,3;0,6;0,5248;1
ILMARANG;0,6171;0,2833;0,6667;0,5224;1
LETMASA;0,5714;0,35;0,6667;0,5294;1
NURNYAMAN;0,5486;0,2667;0,6667;0,494;1
WIRATAN;0,5943;0,3;0,6667;0,5203;1
SOLATH;0,7257;0,3167;0,6667;0,5697;1
BATUGAJAH;0,6;0,2833;0,6667;0,5167;1
ELO;0,6286;0,3667;0,7333;0,5762;1
LUANG BARAT;0,56;0,3333;0,6667;0,52;1
