NAMA DESA;IKS;IKE;IKL;IDM;Status
PAYOGEI;0,748571429;0,283333333;0,266666667;0,432857143;0
PUGAIDA;0,748571429;0,633333333;0,266666667;0,54952381;1
WOYOUTO;0,748571429;0,633333333;0,266666667;0,54952381;1
YAIBU;0,5632;0,633333333;0,266666667;0,487733333;0
DIMIYA;0,525714286;0,216666667;0,6;0,447460317;0
KENIAPA;0,537142857;0,216666667;0,6;0,451269841;0
MEMIYAIBUTU;0,451428571;0,25;0,533333333;0,411587302;0
UDAUGI;0,428571429;0,283333333;0,466666667;0,392857143;0
WOTAI;0,525714286;0,216666667;0,6;0,447460317;0
DOKONEIDA;0,485714286;0,316666667;0,266666667;0,356349206;0
IPOUWA;0,525714286;0,183333333;0,733333333;0,480793651;0
MUNAIYEPA;0,525714286;0,183333333;0,733333333;0,480793651;0
NAMUTADI;0,525714286;0,183333333;0,733333333;0,480793651;0
UWAGI;0,525714286;0,183333333;0,733333333;0,480793651;0
YOUTADI;0,394285714;0,183333333;0,6;0,392539683;0
ABOY;0,5829;0,2833;0,6;0,488733333;0
ARMISE;0,4514;0,2167;0,6;0,4227;0
JUBLY;0,4857;0,2167;0,6;0,434133333;0
LUBAN;0,4857;0,2167;0,5333;0,4119;0
LULIS WII;0,5943;0,25;0,5333;0,4592;0
PIPAL;0,6343;0,25;0,6667;0,517;1
WORO;0,5086;0,2167;0,6667;0,464;0
ALEMSOM;0,468571429;0,183333333;0,666666667;0,43952381;0
BAKWALIN YUB;0,48;0,216666667;0,666666667;0,454444444;0
BINALKOM;0,48;0,216666667;0,666666667;0,454444444;0
BONDIK;0,474285714;0,216666667;0,666666667;0,452539683;0
ERADUMAN;0,468571429;0,183333333;0,666666667;0,43952381;0
IMIRYI;0,485714286;0,216666667;0,666666667;0,456349206;0
MURUMAN;0,474285714;0,216666667;0,666666667;0,452539683;0
PAYOL MASUMKON;0,462857143;0,183333333;0,666666667;0,437619048;0
SUMTAMON;0,491428571;0,216666667;0,666666667;0,458253968;0
TAPASIK;0,468571429;0,216666667;0,666666667;0,450634921;0
TAPOB;0,474285714;0,183333333;0,666666667;0,441428571;0
TIBAL;0,48;0,216666667;0,666666667;0,454444444;0
AWINBON;0,462857143;0,216666667;0,666666667;0,448730159;0
KAWE;0,462857143;0,216666667;0,666666667;0,448730159;0
MIKIR;0,462857143;0,216666667;0,666666667;0,448730159;0
NANUM ANAIP;0,462857143;0,216666667;0,666666667;0,448730159;0
YELOBIB;0,462857143;0,216666667;0,666666667;0,448730159;0
BAKATA;0,417142857;0,216666667;0,533333333;0,389047619;0
BATANI;0,445714286;0,216666667;0,666666667;0,443015873;0
KARYE;0,216666667;0,533333333;0,389047619;0,37968254;0
PALUR DUA;0,417142857;0,216666667;0,533333333;0,389047619;0
PALUR SATU;0,417142857;0,216666667;0,533333333;0,389047619;0
SEGAME;0,348571429;0,216666667;0,666666667;0,410634921;0
SOPLE;0,417142857;0,216666667;0,533333333;0,389047619;0
ABUKEROM;0,348571429;0,216666667;0,666666667;0,410634921;0
AKYAKO;0,348571429;0,216666667;0,666666667;0,410634921;0
BATOM;0,44;0,3;0,5333;0,424433333;0
BATOM DUA;0,348571429;0,216666667;0,666666667;0,410634921;0
BELOMO;0,348571429;0,216666667;0,666666667;0,410634921;0
MONGHAM;0,5029;0,1833;0,6667;0,450966667;0
MUARA;0,371428571;0,183333333;0,666666667;0,407142857;0
NEEP;0,348571429;0,216666667;0,666666667;0,410634921;0
OKSIP;0,348571429;0,216666667;0,666666667;0,410634921;0
PETENG;0,337142857;0,216666667;0,666666667;0,406825397;0
SABI;0,325714286;0,216666667;0,666666667;0,403015873;0
BIME;0,4686;0,3333;0,6667;0,489533333;0
BOB;0,3886;0,25;0,6667;0,4351;0
BUNGGON;0,48;0,3167;0,6667;0,4878;0
CALAB;0,4343;0,3167;0,6667;0,472566667;0
KAMEME;0,4229;0,2833;0,6667;0,457633333;0
LIM LIM;0,4;0,2833;0,6667;0,45;0
LIMIRI;0,4457;0,3167;0,6;0,454133333;0
PEREM;0,4343;0,3;0,6667;0,467;0
TELI;0,4229;0,3167;0,6667;0,468766667;0
TURWE;0,4343;0,2167;0,6667;0,439233333;0
ARINA;0,434285714;0,216666667;0,533333333;0,394761905;0
ARINGGON;0,434285714;0,216666667;0,533333333;0,394761905;0
BORDAMBAN;0,434285714;0,216666667;0,533333333;0,394761905;0
BORME;0,485714286;0,316666667;0,533333333;0,445238095;0
BUKAM;0,434285714;0,216666667;0,533333333;0,394761905;0
CANGDAMBAN;0,411428571;0,216666667;0,533333333;0,387142857;0
KOLGIR;0,434285714;0,216666667;0,533333333;0,394761905;0
KWIME;0,434285714;0,216666667;0,533333333;0,394761905;0
LAYDAMBAN;0,434285714;0,216666667;0,533333333;0,394761905;0
OMBAN;0,457142857;0,216666667;0,533333333;0,402380952;0
ONYA;0,434285714;0,216666667;0,533333333;0,394761905;0
SEBAN;0,411428571;0,216666667;0,533333333;0,387142857;0
SIKIBUR;0,434285714;0,216666667;0,533333333;0,394761905;0
BARAMA;0,5029;0,2833;0,5333;0,4398;0
BASIRINGE;0,5486;0,2833;0,3333;0,3884;0
BUNYIRYE;0,4514;0,35;0,3333;0,3783;0
EIPUMEK;0,52;0,35;0,5333;0,4678;0
KWEREDALA;0,4629;0,25;0,3333;0,3487;0
LALAKON;0,4514;0,4167;0,4667;0,4449;0
LONDININ;0,4743;0,4;0,3333;0,4025;0
MALINGDAM;0,308571429;0,216666667;0,6;0,375079365;0
MUNGKONA;0,308571429;0,216666667;0,6;0,375079365;0
SERABUM;0,308571429;0,216666667;0,6;0,375079365;0
SUPLEYU;0,52;0,2833;0,3333;0,3789;0
TALEMU;0,4857;0,35;0,3333;0,3897;0
TANIME;0,308571429;0,216666667;0,6;0,375079365;0
WAKIDAM;0,48;0,2833;0,3333;0,3656;0
DINMOT ARIM;0,5486;0,25;0,2667;0,3551;0
DIPOL;0,5714;0,25;0,5333;0,451566667;0
EWENKATOP;0,5257;0,3;0,4667;0,4308;0
IWUR;0,4457;0,3167;0,6;0,454133333;0
KAMYOIM;0,5314;0,3;0,6;0,477133333;0
KURUMKLIN;0,5029;0,35;0,4;0,417633333;0
NARNGER;0,5486;0,3;0,6;0,482866667;0
NENGINUM;0,548571429;0,216666667;0,666666667;0,477301587;0
ULKUBI;0,5257;0,3;0,5333;0,453;0
WALAPKUBUN;0,5486;0,25;0,4;0,399533333;0
BRIS;0,3886;0,3;0,6667;0,4517;0
JETFA;0,4286;0,3667;0,6667;0,4873;0
KALIMBU;0,4229;0,3333;0,6667;0,4743;0
LULIS;0,3657;0,2667;0,6667;0,433;0
TUPALMA DUA;0,3771;0,2667;0,6;0,4146;0
TUPALMA SATU;0,3429;0,3333;0,6667;0,4476;0
ARINKOP;0,662857143;0,383333333;0,466666667;0,504285714;1
DABOLDING;0,662857143;0,383333333;0,466666667;0,504285714;1
IMIK;0,668571429;0,35;0,466666667;0,495079365;1
KALOMDOL;0,622857143;0,3;0,466666667;0,463174603;0
TULO;0,691428571;0,383333333;0,533333333;0,536031746;1
ARINTAP;0,485714286;0,3;0,466666667;0,417460317;0
ATER;0,491428571;0,3;0,466666667;0,419365079;0
KAWOR;0,474285714;0,283333333;0,466666667;0,408095238;0
NANUM;0,502857143;0,283333333;0,466666667;0,417619048;0
SAKUP;0,502857143;0,283333333;0,466666667;0,417619048;0
TARNGOP;0,502857143;0,283333333;0,466666667;0,417619048;0
UMDING;0,491428571;0,283333333;0,466666667;0,413809524;0
ASUA;0,6629;0,3667;0,6;0,5432;1
BERUSAHA;0,6229;0,4333;0,6;0,5521;1
DELPEM;0,5886;0,3667;0,6667;0,5406;1
DIIP;0,5943;0,3167;0,6667;0,5259;1
KIWI;0,5829;0,4333;0,6;0,5387;1
KUKIHIL;0,6114;0,4333;0,6;0,5483;1
LOLIM;0,6114;0,3667;0,6;0,526;1
OKNANGGUL;0,6;0,4333;0,6;0,5444;1
PELEBIB;0,5829;0,4333;0,6;0,5387;1
POMDING;0,5771;0,3667;0,6;0,5146;1
SOPAMIKMA;0,5886;0,4333;0,6;0,5406;1
DIKDON;0,451428571;0,216666667;0,666666667;0,444920635;0
EHIPTEN;0,394285714;0,216666667;0,666666667;0,425873016;0
OKETUR;0,422857143;0,216666667;0,666666667;0,435396825;0
OKHIK;0,377142857;0,216666667;0,666666667;0,42015873;0
OKYAKO;0,422857143;0,216666667;0,666666667;0,435396825;0
OKYAOP;0,388571429;0,216666667;0,666666667;0,423968254;0
OKYOP;0,502857143;0,216666667;0,666666667;0,462063492;0
TATAM;0,388571429;0,216666667;0,666666667;0,423968254;0
WANTEM;0,422857143;0,216666667;0,666666667;0,435396825;0
MILKI;0,4171;0,35;0,6667;0,4779;0
MOT;0,44;0,35;0,5333;0,4411;0
MUARA ASBI;0,4229;0,3167;0,5333;0,4243;0
TUAL;0,4857;0,2833;0,6667;0,4786;0
YUBU;0,4914;0,35;0,6;0,4805;0
BIAS;0,5086;0,2167;0,6;0,441766667;0
BUMI;0,4629;0,2167;0,6;0,426533333;0
DELEMO;0,4057;0,2167;0,6;0,407466667;0
TERO;0,4629;0,2167;0,6;0,426533333;0
CANGPALLY;0,428571429;0,216666667;0,666666667;0,437301587;0
KWARBAN;0,434285714;0,216666667;0,666666667;0,439206349;0
NONGME;0,497142857;0,216666667;0,666666667;0,46015873;0
OMTAMUR;0,428571429;0,216666667;0,666666667;0,437301587;0
RUBOL;0,428571429;0,216666667;0,666666667;0,437301587;0
YARIGON;0,428571429;0,216666667;0,666666667;0,437301587;0
YOKOM;0,417142857;0,216666667;0,666666667;0,433492063;0
APLIM;0,3771;0,2167;0,6;0,397933333;0
BULANGKOP;0,6114;0,4167;0,6;0,5427;1
KUNGULDING;0,5029;0,3333;0,8;0,5454;1
LIMARUM;0,4629;0,4667;0,6;0,509866667;1
OKDO;0,4057;0,25;0,6;0,418566667;0
YUMAKOT;0,371428571;0,283333333;0,6;0,418253968;0
ATEMBABOL;0,445714286;0,216666667;0,6;0,420793651;0
BORBAN;0,537142857;0,25;0,6;0,462380952;0
DUMPASIK;0,445714286;0,25;0,6;0,431904762;0
KIRIMU;0,445714286;0,25;0,6;0,431904762;0
MAKSUM;0,457142857;0,25;0,6;0,435714286;0
MARKUM;0,445714286;0,216666667;0,6;0,420793651;0
OMLYOM;0,52;0,3;0,666666667;0,495555556;1
PEDAM;0,514285714;0,3;0,666666667;0,493650794;1
PENELI;0,52;0,3;0,666666667;0,495555556;1
SABIN;0,5771;0,4;0,2667;0,4146;0
TUPOPLYOM;0,52;0,3;0,666666667;0,495555556;1
YAPIL;0,52;0,3;0,666666667;0,495555556;1
AKMER;0,5143;0,25;0,3333;0,3659;0
BAPE;0,314285714;0,316666667;0,6;0,41031746;0
IBOT;0,4857;0,25;0,3333;0,3563;0
KASAWI;0,32;0,383333333;0,6;0,434444444;0
MASIM;0,5371;0,2833;0,3333;0,3846;0
TAPASIK DUA BAPENKA;0,314285714;0,316666667;0,533333333;0,388095238;0
ATANG DOKI;0,4914;0,35;0,6667;0,5027;1
BEMHIMIKU;0,5086;0,3;0,5333;0,4473;0
BILIP BAYO;0,4286;0,3167;0,6667;0,470666667;0
KAEP;0,6343;0,25;0,6667;0,517;1
OKALUT KUMAL;0,52;0,2833;0,6667;0,49;0
OKBEM;0,4171;0,35;0,4667;0,411266667;0
OKNGAM;0,5543;0,3;0,6;0,484766667;0
OKTARU;0,4114;0,35;0,4667;0,409366667;0
OKTAU;0,48;0,2833;0,5333;0,4322;0
ABMISIBIL;0,611428571;0,35;0,466666667;0,476031746;0
ATOLBOL;0,594285714;0,366666667;0,533333333;0,498095238;1
IRIDING;0,588571429;0,366666667;0,6;0,518412698;1
MANUNGGAL;0,594285714;0,366666667;0,6;0,52031746;1
OKAPLO;0,617142857;0,366666667;0,533333333;0,505714286;1
OKBIFISIL;0,582857143;0,3;0,466666667;0,44984127;0
OKSEMAR;0,594285714;0,366666667;0,533333333;0,498095238;1
OKTANGLAP;0,588571429;0,366666667;0,533333333;0,496190476;1
KOTYOBAKON;0,371428571;0,216666667;0,666666667;0,418253968;0
OKELWEL;0,485714286;0,216666667;0,666666667;0,456349206;0
OKTENENG;0,417142857;0,216666667;0,666666667;0,433492063;0
TENGNONG;0,365714286;0,216666667;0,666666667;0,416349206;0
KOMOK;0,405714286;0,2;0,8;0,468571429;0
OKAMIN;0,594285714;0,266666667;0,8;0,553650794;1
OKBUMUL;0,485714286;0,15;0,6;0,411904762;0
OKHIM;0,525714286;0,15;0,866666667;0,514126984;1
OKLIP;0,377142857;0,15;0,8;0,442380952;0
OKTEM;0,405714286;0,166666667;0,8;0,457460317;0
OKTUMI;0,594285714;0,216666667;0,8;0,536984127;1
AUTPAHIK;0,354285714;0,216666667;0,666666667;0,412539683;0
BOMDING;0,371428571;0,216666667;0,666666667;0,418253968;0
HONKUDING;0,371428571;0,233333333;0,666666667;0,423809524;0
OKDILAM;0,354285714;0,216666667;0,666666667;0,412539683;0
OKDUNAM;0,337142857;0,216666667;0,666666667;0,406825397;0
OKHAKA;0,36;0,216666667;0,666666667;0,414444444;0
OKMA;0,411428571;0,25;0,6;0,42047619;0
OKPA;0,354285714;0,216666667;0,666666667;0,412539683;0
OKTAE;0,371428571;0,216666667;0,666666667;0,418253968;0
PAUNE;0,337142857;0,216666667;0,666666667;0,406825397;0
TINIBIL;0,502857143;0,25;0,666666667;0,473174603;0
TOMKA;0,354285714;0,216666667;0,666666667;0,412539683;0
KUBIPHKOP;0,502857143;0,233333333;0,866666667;0,534285714;1
MANGABIP;0,48;0,25;0,866666667;0,532222222;1
OKANO;0,48;0,233333333;0,866666667;0,526666667;1
SEBUL;0,48;0,25;0,866666667;0,532222222;1
AKMAKOT;0,594285714;0,666666667;0,333333333;0,531428571;1
ALDOM;0,468571429;0,216666667;0,533333333;0,406190476;0
BUNAMDOL;0,537142857;0,216666667;0,6;0,451269841;0
KUTDOL;0,531428571;0,25;0,6;0,46047619;0
MABILABOL;0,611428571;0,75;0,333333333;0,564920635;1
MOLBIB SILIBIB;0,508571429;0,316666667;0,6;0,475079365;0
POLSAM;0,525714286;0,316666667;0,6;0,480793651;0
ALUTBAKON;0,594285714;0,3;0,666666667;0,52031746;1
ATENOR;0,605714286;0,3;0,666666667;0,524126984;1
MIMIN;0,554285714;0,3;0,666666667;0,506984127;1
OKSOP;0,594285714;0,3;0,666666667;0,52031746;1
OKTUMI;0,588571429;0,3;0,666666667;0,518412698;1
BARAMIRYE;0,314285714;0,383333333;0,6;0,432539683;0
BARICE;0,314285714;0,383333333;0,6;0,432539683;0
IMDE;0,314285714;0,383333333;0,6;0,432539683;0
KALEK;0,314285714;0,383333333;0,6;0,432539683;0
LUMDAKNA;0,314285714;0,383333333;0,6;0,432539683;0
MANDALAK;0,314285714;0,383333333;0,6;0,432539683;0
MARIKLA;0,314285714;0,383333333;0,6;0,432539683;0
PAMEK;0,394285714;0,383333333;0,6;0,459206349;0
PINGGON;0,314285714;0,383333333;0,6;0,432539683;0
YABOSOROM;0,314285714;0,383333333;0,6;0,432539683;0
YOKUL;0,314285714;0,383333333;0,6;0,432539683;0
BON YAKWOL;0,36;0,183333333;0,6;0,381111111;0
DENOM;0,36;0,183333333;0,6;0,381111111;0
OK TELABE;0,36;0,183333333;0,6;0,381111111;0
OKBON;0,36;0,183333333;0,6;0,381111111;0
PEPERA;0,451428571;0,183333333;0,6;0,411587302;0
WOK BAKON;0,36;0,183333333;0,6;0,381111111;0
YUN MUKU;0,36;0,183333333;0,6;0,381111111;0
MODUSIT;0,6057;0,4333;0,6667;0,5686;1
OKATEM;0,3429;0,2167;0,6667;0,4087;0
PARIM;0,4171;0,35;0,6667;0,4779;0
SERAMKATOP;0,5143;0,3833;0,6667;0,5214;1
SIMINBUK;0,5543;0,3667;0,6667;0,5292;1
WANBAKON;0,6343;0,45;0,6667;0,5837;1
YAKMOR;0,3886;0,2833;0,5333;0,4017;0
YAPIMAKOT;0,5257;0,3833;0,6667;0,5252;1
BETEN DUA;0,474285714;0,216666667;0,666666667;0,452539683;0
BITIPDING;0,4;0,266666667;0,666666667;0,444444444;0
IMSIN;0,411428571;0,25;0,666666667;0,442698413;0
MARANG TIKING;0,388571429;0,216666667;0,666666667;0,423968254;0
OMOR;0,411428571;0,25;0,666666667;0,442698413;0
ONKOR;0,474285714;0,216666667;0,666666667;0,452539683;0
TARUP;0,417142857;0,25;0,666666667;0,444603175;0
BAUTME;0,5886;0,3833;0,5333;0,5017;1
MAIGAME;0,371428571;0,383333333;0,6;0,451587302;0
MURME;0,382857143;0,383333333;0,6;0,455396825;0
SINAMI;0,5886;0,4;0,4667;0,4851;0
TEIRAPLU;0,354285714;0,383333333;0,6;0,445873016;0
TERAPDEI;0,405714286;0,383333333;0,6;0,463015873;0
TERIAME;0,5429;0,4167;0,5333;0,4976;1
YITARGET;0,56;0,3833;0,6667;0,5367;1
YUABAN DUA;0,405714286;0,383333333;0,6;0,463015873;0
YUABAN SATU;0,5886;0,2833;0,5333;0,4684;0
DALUBAN;0,4514;0,2167;0,6667;0,444933333;0
LIMREPASIKNE;0,4171;0,2833;0,6667;0,4557;0
MEKDAMGON;0,4857;0,2167;0,6667;0,456366667;0
MERPASIKNE;0,4114;0,2833;0,6;0,431566667;0
MERYANG;0,44;0,25;0,6667;0,452233333;0
NOMTEREN;0,4457;0,2167;0,6667;0,443033333;0
TARAMLU;0,4;0,2167;0,6;0,405566667;0
WEIME;0,4914;0,3833;0,6;0,491566667;1
YOULBAN;0,4343;0,2833;0,6667;0,461433333;0
AGANDUGUME;0,4084;0,5086;0,25;0,389;0
DOLINGGU;0,4595;0,6286;0,2167;0,434933333;0
DUGUNALE;0,4946;0,6171;0,4;0,5039;1
GUT'YENGGENAK;0,5714;0,3833;0,5333;0,496;1
OGOBAK'PELENAK;0,4654;0,4629;0,2667;0,398333333;0
TEROWI;0,5143;0,3833;0,6667;0,521433333;1
ALAMA;0,4571;0,1833;0,5333;0,391233333;0
AMUNGKALPIA;0,4229;0,25;0,6667;0,446533333;0
BELA;0,4343;0,25;0,5333;0,405866667;0
BEMOKI;0,4;0,1833;0,5333;0,3722;0
OMPLIGA;0,4629;0,1833;0,5333;0,393166667;0
TAGALARAMA;0,4114;0,1833;0,6667;0,420466667;0
AMBOBERA;0,5486;0,25;0,6667;0,488433333;0
DAMBET;0,5657;0,1833;0,6667;0,4719;0
DENGKIBUMA;0,5029;0,1833;0,6667;0,450966667;0
MILAWAK;0,68;0,4;0,4667;0,515566667;1
OGAMKI;0,6286;0,1833;0,6667;0,492866667;1
ONDUGI;0,56;0,1833;0,6667;0,47;0
TINGGILBET;0,6114;0,1833;0,6;0,4649;0
YULUKOMA;0,6286;0,1833;0,4667;0,4262;0
BABE;0,48;0,1833;0,6;0,4211;0
JAMBUL;0,4571;0,1833;0,6;0,413466667;0
JENGGEREN;0,4343;0,1833;0,6;0,405866667;0
KELMABET;0,4514;0,1833;0,6;0,411566667;0
MUGULIP;0,4571;0,1833;0,6;0,413466667;0
NUNGAI;0,4571;0,1833;0,6;0,413466667;0
GIMURIK;0,4971;0,3333;0,6667;0,499033333;1
KELANDIRUMA;0,4629;0,2833;0,6667;0,470966667;0
MENINGIMTE;0,3886;0,1833;0,6667;0,412866667;0
PILOKOMA;0,3886;0,2167;0,6667;0,424;0
PULUK;0,3943;0,3167;0,2667;0,3259;0
PUPET;0,6114;0,1833;0,6667;0,487133333;0
WANDIBET;0,3657;0,25;0,6667;0,427466667;0
BINA;0,4246;0,4571;0,15;0,3439;0
GOLU;0,6281;0,6343;0,45;0,5708;1
KABOGOLUK;0,503;0,5257;0,3833;0,470666667;0
MAMAPUT;0,4551;0,5486;0,4833;0,495666667;1
OGOMEGAT;0,5205;0,6114;0,35;0,493966667;1
DERVOS;0,6229;0,3167;0,6667;0,535433333;1
DUAITA;0,4629;0,1833;0,6667;0,437633333;0
FAISAU;0,44;0,1833;0,6667;0,43;0
FOISA;0,4457;0,2167;0,6667;0,443033333;0
FOKRI;0,3943;0,1833;0,6667;0,414766667;0
KORDESI;0,5371;0,45;0,5333;0,5068;1
TAYAI;0,4286;0,2167;0,6667;0,437333333;0
IRATOI;0,48;0,3167;0,5333;0,443333333;0
JIREI;0,6686;0,3;0,6667;0,5451;1
LANI;0,56;0,35;0,6;0,503333333;1
RAWA;0,6057;0,4;0,4667;0,4908;1
WAHUKA;0,5029;0,3833;0,6667;0,517633333;1
AI ARAMA;0,3714;0,2167;0,6667;0,418266667;0
AMUNGKONIN;0,4686;0,2167;0,6667;0,450666667;0
BOMOGIN;0,3371;0,1833;0,6;0,373466667;0
ERELMAKAWIA;0,3486;0,1833;0,6667;0,399533333;0
IPMANGKOP;0,3943;0,2167;0,5333;0,381433333;0
KALPAMONORA;0,3486;0,1833;0,6667;0,399533333;0
MAMOLDEMA;0,3943;0,1833;0,6;0,392533333;0
TAMAGUN;0,3714;0,2167;0,6;0,396033333;0
WAMAGUN;0,4057;0,1833;0,6667;0,418566667;0
AGIYOME;0,4571;0,2167;0,6;0,4246;0
GOME;0,4571;0,2167;0,5333;0,402366667;0
KELANUNGIN;0,44;0,2167;0,6;0,4189;0
MISIMAGA;0,4914;0,2167;0,6;0,436033333;0
NINGGABUMA;0,4229;0,2667;0,6667;0,4521;0
TEGELOBAK;0,4514;0,1833;0,6;0,411566667;0
UPAGA;0,4514;0,2167;0,6;0,4227;0
WAKO;0,4571;0,1833;0,6;0,413466667;0
YENGGERNOK;0,4286;0,2167;0,6;0,4151;0
YONGGOLAWI;0,4629;0,2167;0,6;0,426533333;0
MUNDIDOK;0,5429;0,3833;0,6667;0,530966667;1
TOBENGGI;0,48;0,25;0,6;0,443333333;0
TOWENGGI II;0,4686;0,25;0,6;0,439533333;0
WELENGGARU;0,4743;0,25;0,6;0,441433333;0
YAIKI MAIKI;0,5086;0,25;0,6;0,452866667;0
ILAMBET;0,6286;0,3167;0,6;0,5151;1
JENGGERPAGA;0,6057;0,3;0,6667;0,524133333;1
KAGO;0,5543;0,25;0,6667;0,490333333;0
KALEBUT;0,56;0,2833;0,6667;0,503333333;1
KIMAK;0,4971;0,2167;0,6;0,437933333;0
TAGALOA;0,6571;0,2833;0,6667;0,5357;1
WULONI;0,6457;0,2833;0,6;0,509666667;1
AKONOBAK;0,4857;0,25;0,6667;0,467466667;0
AMUNGI;0,4571;0,2833;0,6667;0,469033333;0
AYALI;0,5143;0,2167;0,6667;0,4659;0
MAKI;0,5257;0,2167;0,6;0,447466667;0
MAYUBERI;0,5257;0,2167;0,6667;0,4697;0
MUNDIBA;0,4514;0,25;0,6667;0,456033333;0
OLENKI;0,4971;0,25;0,6667;0,471266667;0
PALUGA;0,5314;0,2167;0,6667;0,4716;0
TOEGI;0,5086;0,2167;0,6667;0,464;0
AGUIT;0,6057;0,1833;0,6667;0,485233333;0
BELABA;0,4514;0,1833;0,6;0,411566667;0
KEMBRU;0,4;0,1833;0,6667;0,416666667;0
MAKUMA;0,5983;0,6114;0,25;0,486566667;0
MOLU;0,5143;0,1833;0,6;0,432533333;0
NILIME;0,4343;0,1833;0,5333;0,383633333;0
TINOTI;0,3714;0,1833;0,6667;0,407133333;0
PILUWOLU;0,3997;0,3657;0,2333;0,3329;0
PUMBANAK;0,4114;0,1833;0,5333;0,376;0
TENAWI;0,52;0,1833;0,6667;0,456666667;0
TUPUT;0,4114;0,1833;0,6;0,398233333;0
WAMIRU;0,4;0,1833;0,5333;0,3722;0
WANOMBUT;0,4229;0,1833;0,6;0,402066667;0
WENGGEN'AMBUT;0,5886;0,1833;0,6667;0,479533333;0
BOLOGOBAK;0,3997;0,3657;0,2333;0,3329;0
BUBET;0,3997;0,3657;0,2333;0,3329;0
KABUKI;0,3997;0,3657;0,2333;0,3329;0
KALEMOGOM;0,3997;0,3657;0,2333;0,3329;0
KO'EAO;0,3997;0,3657;0,2333;0,3329;0
MABUGA;0,3997;0,3657;0,2333;0,3329;0
OGONGKI;0,3997;0,3657;0,2333;0,3329;0
OKNANIM;0,3997;0,3657;0,2333;0,3329;0
AMULEME;0,3829;0,25;0,6667;0,4332;0
GELEGI;0,5579;0,6571;0,35;0,521666667;1
JIGUNGGI;0,4771;0,5314;0,2333;0,413933333;0
KONDOKWE;0,6571;0,4667;0,3333;0,4857;0
KUMIKOMO;0,7086;0,5;0,2667;0,491766667;1
NIGILOME;0,6571;0,45;0,4667;0,5246;1
RUMAGI;0,5943;0,5333;0,2667;0,464766667;0
TINIBOLU;0,5448;0,6343;0,4;0,526366667;1
WENI;0,72;0,55;0,1333;0,467766667;0
WINANGGWI;0,3657;0,1833;0,6667;0,405233333;0
WOMBRU;0,6914;0,4833;0,2667;0,480466667;0
DAUNG;0,4743;0,1833;0,5333;0,396966667;0
ERONG BERONG;0,5257;0,1833;0,6667;0,458566667;0
HIKINAT;0,5657;0,25;0,5333;0,449666667;0
KOMBET;0,4229;0,25;0,6667;0,446533333;0
KULAMAGOM;0,5613;0,6171;0,4;0,526133333;1
OGAMANIN;0,6306;0,7086;0,45;0,5964;1
ONOP;0,5637;0,6743;0,4167;0,551566667;1
AMINGGARU;0,4514;0,2333;0,6;0,428233333;0
AWILKINOP;0,3314;0,15;0,6667;0,3827;0
BALAMAGALAMA;0,3829;0,1833;0,6667;0,410966667;0
DOMAOA;0,3314;0,15;0,6667;0,3827;0
EROMAGA;0,4857;0,2333;0,5333;0,417433333;0
GILINI;0,4171;0,1833;0,6667;0,422366667;0
KULEME;0,3486;0,1833;0,6667;0,399533333;0
KUNGA;0,5029;0,2167;0,6;0,439866667;0
MANGGUME;0,3829;0,1833;0,6667;0,410966667;0
NINGGIBOME;0,3257;0,2167;0,6667;0,403033333;0
ONDUGURA;0,4229;0,2167;0,6;0,4132;0
PINAPA;0,3543;0,1833;0,6667;0,401433333;0
PINGGIL/ERONGGOBAK;0,4286;0,2333;0,5333;0,3984;0
PUNGTRAMA;0,3257;0,15;0,6667;0,3808;0
DEOGI;0,4571;0,1833;0,6667;0,4357;0
GUNALUK;0,4514;0,1833;0,6667;0,4338;0
JIWOT;0,4343;0,1833;0,6667;0,4281;0
JUGUMI;0,4286;0,2667;0,6667;0,454;0
KUGIAME;0,4171;0,25;0,6667;0,4446;0
WUYUNGGAME;0,44;0,25;0,6667;0,452233333;0
GAGAMA;0,5486;0,2333;0,6667;0,482866667;0
GUWAMU;0,4857;0,1833;0,6667;0,445233333;0
KOLAMAGI;0,5486;0,2333;0,6667;0,482866667;0
KUMASINGGA;0,52;0,1833;0,6667;0,456666667;0
POGOMA;0,52;0,2667;0,6;0,462233333;0
UGUTMU;0,5257;0,2333;0,6667;0,475233333;0
WAKME;0,5314;0,25;0,6667;0,4827;0
WIHA;0,5314;0,3;0,6667;0,499366667;1
YUGUME;0,5486;0,1833;0,6667;0,4662;0
GIGOBAK;0,6114;0,4667;0,4667;0,514933333;1
GIGOBAK II;0,457;0,5543;0,35;0,453766667;0
GINGGA BARU;0,5143;0,3;0,6;0,471433333;0
GULABUT;0,5429;0,4;0,5333;0,492066667;1
KALIBUK;0,4457;0,1833;0,6;0,409666667;0
KELEMAME;0,4743;0,3167;0,5333;0,441433333;0
KOLARIBANAK;0,64;0,4333;0,4;0,4911;1
MOGULU;0,5714;0,35;0,4667;0,4627;0
PASIR PUTIH;0,6229;0,5333;0,4667;0,540966667;1
TENONGGAME;0,4686;0,3833;0,6667;0,5062;1
YAURIA;0,5013;0,5371;0,4333;0,490566667;0
BAKCINI;0,5314;0,2167;0,6667;0,4716;0
KILUNGGAME;0,4914;0,2167;0,6667;0,458266667;0
KOMAPAGA;0,48;0,2167;0,6667;0,454466667;0
TAGALAME I;0,5086;0,2167;0,6667;0,464;0
